Team,Week,Day,Month,Date,Year,Court,Opponent,Rank,Rank2,WL,Score,OppScore
Kentucky,1,Tue,Nov,6,2018,N,Duke ,4,,L,84,118
Kentucky,2,Fri,Nov,9,2018,0,Southern Illinois,,,W,71,59
Kentucky,3,Wed,Nov,14,2018,0,North Dakota,,,W,96,58
Kentucky,4,Sun,Nov,18,2018,0,Virginia Military Institute,,,W,92,82
Kentucky,5,Wed,Nov,21,2018,0,Winthrop,,,W,87,74
Kentucky,6,Fri,Nov,23,2018,0,Tennessee State,,,W,77,62
Kentucky,7,Wed,Nov,28,2018,0,Monmouth,,,W,90,44
Kentucky,8,Sat,Dec,1,2018,0,North Carolina-Greensboro,,,W,78,61
Kentucky,9,Sat,Dec,8,2018,N,Seton Hall,,,L,83,84
Kentucky,10,Sat,Dec,15,2018,0,Utah,,,W,88,61
Kentucky,11,Sat,Dec,22,2018,N,North Carolina ,9,,W,80,72
Kentucky,12,Sat,Dec,29,2018,@,Louisville,,,W,71,58
Kentucky,13,Sat,Jan,5,2019,@,Alabama,,,L,75,77
Kentucky,14,Tue,Jan,8,2019,0,Texas A&M,,,W,85,74
Kentucky,15,Sat,Jan,12,2019,0,Vanderbilt,,,W,56,47
Kentucky,16,Tue,Jan,15,2019,@,Georgia,,,W,69,49
Kentucky,17,Sat,Jan,19,2019,@,Auburn ,14,,W,82,80
Kentucky,18,Tue,Jan,22,2019,0,Mississippi State ,22,,W,76,55
Kentucky,19,Sat,Jan,26,2019,0,Kansas ,9,,W,71,63
Kentucky,20,Tue,Jan,29,2019,@,Vanderbilt,,,W,87,52
Kentucky,21,Sat,Feb,2,2019,@,Florida,,,W,65,54
Kentucky,22,Tue,Feb,5,2019,0,South Carolina,,,W,76,48
Kentucky,23,Sat,Feb,9,2019,@,Mississippi State,,,W,71,67
Kentucky,24,Tue,Feb,12,2019,0,Louisiana State ,19,,L,71,73
Kentucky,25,Sat,Feb,16,2019,0,Tennessee ,1,,W,86,69
Kentucky,26,Tue,Feb,19,2019,@,Missouri,,,W,66,58
Kentucky,27,Sat,Feb,23,2019,0,Auburn,,,W,80,53
Kentucky,28,Tue,Feb,26,2019,0,Arkansas,,,W,70,66
Kentucky,29,Sat,Mar,2,2019,@,Tennessee ,7,,L,52,71
Kentucky,30,Tue,Mar,5,2019,@,Mississippi,,,W,80,76
Kentucky,31,Sat,Mar,9,2019,0,Florida,,,W,66,57
Kentucky,1,Fri,Nov,10,2017,0,Utah Valley,,,W,73,63
Kentucky,2,Sun,Nov,12,2017,0,Vermont,,,W,73,69
Kentucky,3,Tue,Nov,14,2017,N,Kansas ,4,,L,61,65
Kentucky,4,Fri,Nov,17,2017,0,East Tennessee State,,,W,78,61
Kentucky,5,Mon,Nov,20,2017,0,Troy,,,W,70,62
Kentucky,6,Wed,Nov,22,2017,0,Purdue-Fort Wayne,,,W,86,67
